Meteor Falls;Meteorfälle;
Um, hi!\rThere are scary Pokémon outside!\nI can hear their cries!\rI want to go see what's going on,\nbut I don't have any Pokémon|\rCan you go see what's happening for me?;Äh| Hallo!\rDa ist ein fürchterliches Pokémon!\nIch kann sein Ruf hören!\rIch würde mir ja gerne mal ansehen, was da los\nist, aber ich habe kein Pokémon|\rKannst du nicht für mich nachschauen,\nwas da los ist?;
H-Help me!;Hi| Hiiiilfe!;
Hello! You over there!\nPlease! Help!\rIn my bag!\nThere's a Poké Ball!;Hilfe! Du dort drüben!\nBitte! Hilfe!\rIn meiner Tasche|\nDa findest du einen Pokéball!;
Prof. Birch: Whew|\rI was in the tall grass studying wild\nPokémon when I was jumped.\rYou saved me. Thanks a lot!\rOh?\rHi, you're [PLAYER]!\rThis is not the place to chat, so come by my\nPokémon Lab, okay?;Prof. Birk: Puuh|\rIch habe im hohen Gras Pokémon studiert,\nals ich angesprungen wurde.\rDu hast mich gerettet.\nVielen, vielen Dank!\rOh?\rHi, du bist doch [PLAYER]!\rAber dies ist nicht der Ort für ein\nSchwätzchen.\rKomm doch mit in mein Pokémon-Labor,\nokay?;
Prof. Birch: So, [PLAYER].\rI've heard so much about you\nfrom your father.\rI've heard that you don't have\nyour own Pokémon yet.\rBut the way you battled earlier,\nyou pulled it off with aplomb!\rI guess you have your father's blood\nin your veins after all!\rOh yes. As thanks for rescuing me, I'd like\nyou to have the Pokémon you used earlier.;Prof. Birk: Du bist also [PLAYER]!\rDein Vater hat mir schon viel von dir erzählt.\rIch habe auch erfahren, dass du noch\nkein eigenes Pokémon besitzt.\rAber wie du eben gekämpft hast|\nDiese Gelassenheit|\rIn deinen Adern fließt wirklich das Blut\ndeines Vaters!\rAls Dank dafür, dass du mich gerettet hast,\nmöchte ich dir das Pokémon schenken,\ndas du gerade benutzt hast.;
[PLAYER] received [TEAM:0].;[PLAYER] erhielt [TEAM:0].;
Would you like to give a nickname to [TEAM:0]?;Möchtest du dem [TEAM:0] einen Kosenamen geben?;
Prof. Birch: If you work at Pokémon and gain\nexperience, I think you'll make an\nextremely good Pokémon Trainer.\rMy kid, [RIVAL], is also studying Pokémon\nwhile helping me out.;Prof. Birk: Wenn du dich mit Pokémon\nbeschäftigst und Erfahrungen sammelst,\nwirst du bestimmt ein sehr guter Trainer.\rMein Kind, [RIVAL], studiert ebenfalls\nPokémon und hilft mir dabei sehr.;
Prof. Birch: Oh, don't be that way.\nYou should go meet my kid.;Prof. Birk: Ach, sei doch nicht so!\nIhr solltet euch wirklich treffen.;
Prof. Birch: Great!\n[RIVAL] should be happy, too.\rGet [RIVAL] to teach you what it means\nto be a Pokémon Trainer.;Prof Birk: Großartig!\n[RIVAL] wird sich auch freuen.\r[RIVAL] soll dir beibringen, was es\nbedeutet, ein Trainer zu sein.;
Prof. Birch: [RIVAL]?\nGone home, I think.\rOr maybe that kid's scrabbling around in\ntall grass again somewhere|\rIf you or your Pokémon get tired,\nyou should get some rest at home.;Prof. Birk: [RIVAL]?\n[RIVAL] ist nach Hause gegangen, glaube ich.\rOder das Kind krabbelt mal wieder\nirgendwo durch hohes Gras|\rWenn du und deine Pokémon müde sind,\ndann ruht euch zu Hause aus.;
Prof. Birch is studying the habitats and\ndistribution of Pokémon.\rThe Prof enjoys [RIVAL]'s help, too.\nThere's a lot of love there.;Prof. Birk studiert den Lebensraum\nund die Verbreitung von Pokémon.\rDer Prof freut sich über die Mitarbeit\nvon [RIVAL]. Da spürt man Zuneigung!;
You saved Prof. Birch!\nI'm so glad!;Du hast Prof. Birk gerettet!\nIch bin total froh!;
Oh, [RIVAL] went out to Route 103\njust a little while ago.\rLike father, like child.\n[RIVAL] can't stay quietly at home.;Oh, [RIVAL] ist vor kurzem zur\nRoute 103 aufgebrochen.\rWie der Vater, so das Kind. [RIVAL] hält\nes keine fünf Minuten im Haus aus.;
Mom: How are you doing, [PLAYER]?\nYou look a little tired.\rI think you should rest a bit.;Mutter: Wie geht es dir, [PLAYER]?\nDu siehst müde aus.\rIch denke, du solltest dich etwas ausruhen.;
Mom: Take care, honey!.;Mutter: Pass auf dich auf, Schatz!;
Aaaah! Wait!\nPlease don't come in here.;Aaaah! Warte!\nBitte nicht dort entlang laufen!;
I just discovered the footprints\nof a rare Pokémon!\rWait until I finish sketching them, okay?;Ich habe dort die Fußspuren eines\nseltenen Pokémon gesehen!\rWarte, bis ich fertig bin, sie\nabzuzeichnen, okay?;
---;---;
Hi!\nI work at a Pokémon Mart.\rWhat is a Pokémon Mart you may ask?\rIt is a building just as the one right behind me.\nJust look for our blue roof.\rWe sell a variety of goods including\nPoké Balls for catching Pokémon.\rHere, I'd like you to have these\nPotions as promotional items.;Hi!\nIch arbeite in einem Pokémon-Supermarkt.\rWas ein Pokémon-Supermarkt ist?\rDas ist ein Gebäude wie das hinter mir.\nAchte einfach auf unser blaues Dach.\rWir verkaufen eine Menge nützlicher Dinge,\nwie Pokébälle, mit denen man Pokémon fängt.\rHier, ein paar Tränke als ein\nkleines Werbegeschenk.;
A Potion can be used anytime, so it can be\neven more useful than a Pokémon Center.;Ein Trank kann zu jeder Zeit eingesetzt\nwerden, daher ist er in manchen Situationen\nwertvoller als ein Pokémon-Center.;
[RIVAL]: Okay, so it's this one and that one\nthat live on Route 103|;[RIVAL]: So| Dieses und dieses leben also an\nder Route 103|;
Hey, it's [PLAYER]!\r|Oh, yeah, Dad gave you a Pokémon.\rSince we're here, how about a little battle?\rI'll teach you what being a\nPokémon Trainer's about!;Hey, da ist ja [PLAYER]!\r| Oh ja. Mein Vater hat dir ein Pokémon\ngeschenkt, nicht wahr?\rWenn wir schon mal hier sind, lass uns\ndoch einen kleinen Kampf austragen.\rIch bringe dir bei, was ein Trainer\nwissen muss.;
[RIVAL]: I think I get it. I think I know\nwhy my dad has his eye out for you now.\rLook, your Pokémon already likes you, even though you just got it.\r[PLAYER], I get the feeling that you could\nbefriend any Pokémon with ease.\r| | |\rWe should head back to the lab.;[RIVAL]: Ich denke, ich habe es kapiert.\rIch weiß jetzt, warum mein Vater dich\nausgesucht hat.\rDu hast dein Pokémon noch nicht lange,\nund doch mag es dich schon.\r[PLAYER], ich glaube, du kannst mit\njedem Pokémon Freundschaft schließen.\rWir sollten zurück zum Labor gehen.;
---;---;
I think it's wonderful for people to\ntravel with Pokémon.\rBut you should go home every so often\nto let you mother know you're okay.\rShe might not say it, but I'm sure she\nworries about you, [PLAYER].;Ich glaube, es ist wunderbar für Leute,\nmit ihren Pokémon zu reisen.\rAber du solltest öfter nach Hause gehen und\ndeiner Mutter zeigen, dass es dir gut geht.\rSie lässt es sich nicht anmerken, aber sie\nmacht sich bestimmt Sorgen!;
Prof. Birch: Oh, welcome back, [PLAYER]!\rI heard you beat [RIVAL] on your first try.\nThat's excellent!\r[RIVAL]'s been helping with my research\nfor a long time.\r[RIVAL] has an extensive history as a\nPokémon Trainer already.\rThat reminds me, [PLAYER].\rHere, I ordered this for my research,\nbut I think you should have this PokéDex.;Prof. Birk: Oh, hallo, [PLAYER]!\rIch habe gehört, du hast [RIVAL] besiegt!\nSuper!\rDas war dein erster Kampf gegen einen\nTrainer!\r[RIVAL] hilft mir schon sehr lange bei\nmeinen Forschungen.\r[RIVAL] hat eine respektable Vergangenheit\nals Trainer.\rHier, das hilft mir bei meinen Forschungen.\rAber ich denke, du kannst den\nPokéDex auch gebrauchen.;
[PLAYER] received the PokéDex.;[PLAYER] erhielt den PokéDex.;
Prof. Birch: The PokéDex is a high-tech tool\nthat automatically makes a record\nof any Pokémon you meet or catch.\rMy kid, [RIVAL], goes everywhere with it.\rWhenever my kid catches a rare Pokémon\nand records its data in the PokéDex,\n[RIVAL] looks for me while I'm out\ndoing fieldwork, and shows me.;Prof. Birk: Der PokéDex ist ein high-tech\nGerät, das automatisch jedes Pokémon\nregistrierst, das du siehst oder fängst.\r[RIVAL] geht nie ohne ihn aus dem Haus.\rImmer, wenn [RIVAL] ein seltenes Pokémon\nfängt, eilt [RIVAL] schnell zu mir,\num mir den Eintrag im PokéDex zu zeigen.;
[RIVAL]: Huh|\nSo you got a PokéDex, too.\rWell then, here.\nI'll give you these.;[RIVAL]: Ach|\nDu hast auch einen PokéDex.\rNa, dann, gebe ich dir die hier.;
[RIVAL]: You know it's more fun to have a\nwhole bunch of Pokémon.\rI'm going to explore all over the place to find\ndifferent Pokémon.\rIf I find any cool Pokémon, you bet I'll try\nto get them with Poké Balls.;[RIVAL]: Weißt du, je mehr Pokémon du besitzt,\ndesto mehr Spaß macht es.\rIch reise viel umher, um die verschiedensten\nPokémon zu finden.\rUnd wenn ich ein cooles Pokémon sehe,\nversuche ich natürlich, es zu fangen.;
[RIVAL]: Where should I look for Pokémon\nnext|;[RIVAL]: Hm, wo soll ich wohl als nächstes\nnach Pokémon suchen?;
Prof. Birch: Countless Pokémon await you!\rArgh, I'm getting the itch to get out and\ndo fieldwork again!;Prof. Birk: Unzählige Pokémon erwarten dich.\rHach, ich muss jetzt auch dringend\nwieder meinen Forschungen nachgehen.;
Mom: Wait, [PLAYER]!;Mutter: Warte, [PLAYER]!;
Mom: [PLAYER]! [PLAYER]! Did you introduce\nyourself to Prof. Birch?\rOh! What an adorable Pokémon!\nYou got it from Prof. Birch. How nice!\rYou're your father's child, all right.\nYou look good together with Pokémon!\r| | | | | | | | | |\n| | | | | | | | | |\rTo think that you have your\nvery own Pokémon now|\rYour father will be overjoyed.\r|But please be careful.\nIf anything happens, you can come home.\rGo on, go get them, honey!;Mutter: [PLAYER]! [PLAYER]! Hast du dich schon\nProf. Birk vorgestellt?\rOh! Was für ein hübsches Pokémon!\nDu hast es von Prof. Birk erhalten? Toll!\rGanz wie dein Vater! Wunderbar.\nDu siehst gut aus mit deinem Pokémon!\r| | | | | | | | | |\n| | | | | | | | | |\rSich vorzustellen, dass du nun dein\neigenes Pokémon besitzt|\rDein Vater wird überglücklich sein.\r| Aber sei bitte vorsichtig.\rSollte etwas passieren,\nkomm wieder nach Hause.\rLauf, schnapp' sie dir alle, Schatz!;
Are you going to catch Pokémon?\nGood luck!;Gehst du Pokémon fangen?\nViel Glück!;
I finished sketching te footprints of a rare Pokémon.\rBut it turns out they were only\nmy own footprints|;Ich habe die Fußspuren eines seltenen\nPokémon abgezeichnet.\rAber hinterher habe ich festgestellt,\ndass es meine eigenen Spuren waren|;
Mom: Did you introduce yourself to\nProf. Birch?;Mutter: Hast du dich bei Prof. Birk\nvorgestellt?;
[PLAYER], don't you think it might\nbe a good idea to go see [RIVAL]?;[PLAYER], meinst du nicht, es wäre eine gute\nIdee, wenn du dich mit [RIVAL] triffst?;
Route 102\nOldale Town [478];Route 102\nRosaltstadt [478];
Route 102\n[475] Petalburg City;Route 102\n[475] Blütenburg City;
Petalburg City\n[129]Where people mingle with nature.\";Blütenburg City\n[131]Wo Menschen Hand in Hand\nmit der Natur gehen.[129];
Wally's House;Haus von Heiko;
I'm|not very tall, so I sink\nright into tall grass.\rThe grass goes up my nose and|\nFwafwafwafwafwa|\rFwatchoo!;Ich| bin nicht groß, ich versinke\nim hohen Gras.\rDas Gras erreicht meine Nase und|\nHahahaha|\rHaaatschiiii!;
Hiya! Are you maybe|\nA rookie Pokémon Trainer?\rDo you know what Pokémon Trainers do\nwhen they reach a new town?\rThey first check what kind of\nPokémon Gym is in the town.;He da! Bist du vielleicht|\nein Anfänger unter den Trainern?\rWeißt du, was Pokémon-Trainer machen,\nwenn sie in einen neuen Ort kommen?\rSie sehen sich als Erstes die Arena\nim Ort an.;
See? This is Petalburg City's\nPokémon Gym.\rSee that symbol on the roof?\nThat marks this building as a Gym.\rLet me tell you something cool!\rThe color represents the primary type\nof Pokémon the Gym Leader uses!\rFor Petalburg, it is gray, since\nNorman uses Normal-type Pokémon.\rBut he's probably too strong\nfor you anyways|;Schau. Das ist die Arena von\nBlütenburg City.\rSiehst du das Symbol auf dem Dach?\nDas kennzeichnet das Gebäude als Arena.\rHier noch ein Extra-Tipp:\rDie Farbe des Symbols zeigt dir, welchen\nTyp die Pokémon des Arenaleiters haben.\rIn Blütenburg ist das Symbol grau, da\nNorman Normal-Pokémon einsetzt.\rAber Norman ist wahrscheinlich eh\nnoch zu stark für dich|;
Let's say you have six Pokémon.\nIf you catch another one|\rIt is automatically sent to a Storage Box\nover a PC connection.;Nehmen wir an, du hättest sechs Pokémon.\nWenn du jetzt ein weiteres fängst|\rwird es automatisch in das\nPokémon-Lagerungssystem gesendet.;
My face is reflected in the water.\rIt's a shining grin full of hope|\rOr it could be a look of somber silence\nstruggling with fear|\rWhat do you see reflected in your face?;Mein Gesicht spiegelt sich im Wasser|\rEin schimmerndes Lächeln der Hoffnung.\rOder ist es Ausdruck düsterer\nStille, an dem die Angst nagt|\rWas siehst du in deinem Spiegelbild?;
Where has our Wally gone?\rWe have to leave for Verdanturf Town\nvery soon|;Wohin ist unser Heiko nur gegangen?\rWir müssen doch bald nach Wiesenflur\naufbrechen|;
Even if a Pokémon is weak now,\nit will grow stronger.\rThe most important thing is love!\nLove for your Pokémon!;Auch wenn ein Pokémon jetzt noch\nschwach ist - es wird ständig stärker.\rDas Schlüsselwort heißt Liebe!\nLiebe für deine Pokémon!;
Do you use Repel?\rIt keeps Pokémon away, so it's\nuseful when you're in a hurry.;Setzt du Schutz ein?\rDas hält Pokémon fern und ist sehr\nnützlich, wenn du es eilig hast.;
